date,open,close,price_change,p_change_rate,low,high,volume,amount,turnover,index_open,index_close,index_price_change,index_p_change_rate,index_low,index_high,index_volume,index_amount
20150619,18.79,18.06,1.28,6.62,17.41,18.97,2829845.0,513389.53,5.73,16386.98,15725.47,1009.37,6.03,15700.49,16578.88,289646432.0,60116684.0
20150618,20.7,19.34,1.46,7.02,19.01,21.18,2688762.0,545579.06,5.44,17367.13,16734.84,670.73,3.85,16709.6,17442.77,289059712.0,67536680.0
20150617,20.55,20.8,0.11,0.53,19.9,21.17,2456528.0,505570.41,4.97,17073.08,17405.57,329.64,1.93,16564.37,17474.08,312419168.0,70631088.0
20150616,20.27,20.91,0.14,0.67,20.08,21.65,3065646.0,644076.0,6.2,17502.37,17075.93,626.62,3.54,16911.91,17502.37,353020384.0,80537744.0
20150615,21.77,20.77,0.88,4.06,20.41,21.89,3173414.0,662994.69,6.42,18182.64,17702.55,395.72,2.19,17668.67,18211.76,406178368.0,93003144.0
20150612,22.0,21.65,1.15,5.04,21.43,22.27,4706876.0,1025904.12,9.53,17978.05,18098.27,208.58,1.17,17921.91,18198.07,385071968.0,90484464.0
20150611,21.98,22.8,1.4,6.54,21.75,23.54,6462414.0,1473870.5,13.08,17692.9,17889.69,212.12,1.2,17606.43,17889.91,351087904.0,82141000.0
20150610,21.25,21.4,0.16,0.75,20.72,21.9,5217398.0,1116914.88,10.56,17297.04,17677.57,278.57,1.6,17165.89,17852.36,358761344.0,81084440.0
20150609,20.0,21.24,1.12,5.57,19.89,21.45,5482856.0,1146814.12,11.1,17410.64,17399.0,53.31,0.31,17184.32,17609.28,674876992.0,83498680.0
20150608,19.41,20.12,0.61,3.13,18.7,20.97,4444455.0,880264.94,9.0,17648.72,17452.31,196.78,1.11,17145.7,17648.72,770330432.0,101428000.0
20150605,19.03,19.51,0.61,3.23,18.51,19.89,3785144.0,734048.06,7.66,17727.86,17649.09,148.04,0.85,17302.55,17901.86,751116544.0,107156120.0
20150604,19.34,18.9,0.39,2.02,17.51,19.37,2830715.0,523677.34,5.73,17579.36,17501.05,37.45,0.21,16426.31,17608.72,699436416.0,98027800.0
20150603,20.03,19.29,0.73,3.65,19.06,20.03,3055535.0,594888.81,6.18,17626.92,17538.5,52.92,0.3,17098.43,17696.48,688134784.0,101083096.0
20150602,19.45,20.02,0.6,3.09,19.2,20.3,3486459.0,690341.56,7.06,17051.22,17485.58,568.06,3.36,16963.74,17485.58,691328960.0,97417944.0
20150601,18.7,19.42,0.89,4.8,18.54,19.65,3004482.0,576996.06,6.08,16247.39,16917.53,817.08,5.07,16245.55,16921.07,674150144.0,87513576.0
20150529,18.9,18.53,0.6,3.14,17.3,19.4,3536974.0,656443.5,7.16,15920.33,16100.45,187.5,1.18,15299.65,16386.05,751791168.0,95324600.0
20150528,21.0,19.13,2.13,10.02,19.13,21.09,5385485.0,1076683.38,10.9,16953.6,15912.95,1050.57,6.19,15909.1,17153.8,900856064.0,117265376.0
20150527,22.28,21.26,0.65,2.97,20.92,22.49,4516339.0,973276.19,9.14,16988.9,16963.52,60.05,0.36,16610.78,17061.92,729453440.0,103644360.0
20150526,19.95,21.91,1.99,9.99,19.67,21.91,5893773.0,1232805.75,11.93,16456.23,16903.47,552.41,3.38,16397.5,16904.15,714780992.0,101573312.0
20150525,19.8,19.92,0.01,0.05,19.45,20.31,4302652.0,857217.81,8.71,15894.14,16351.06,305.26,1.9,15810.15,16368.91,668493952.0,95373328.0
20150522,20.0,19.91,0.06,0.3,19.28,20.48,5276368.0,1046240.88,10.68,16084.04,16045.8,173.27,1.09,15731.01,16191.15,650250240.0,98770408.0
20150521,18.6,19.85,0.95,5.03,18.33,19.88,4893388.0,938030.5,9.9,15402.95,15872.53,535.45,3.49,15402.95,15872.59,506595040.0,81827184.0
20150520,19.23,18.9,0.24,1.25,18.85,19.66,4575108.0,883476.38,9.26,15206.56,15337.08,209.7,1.39,15206.56,15618.13,577174144.0,84753720.0
20150519,19.1,19.14,0.14,0.74,18.3,19.28,4067385.0,768570.31,8.23,14723.21,15127.38,454.75,3.1,14704.33,15173.92,515510976.0,73015792.0
20150518,19.15,19.0,0.02,0.11,18.9,19.93,3805189.0,735704.81,7.7,14612.88,14672.63,22.32,0.15,14564.73,14759.09,457268192.0,66293380.0
20150515,19.19,19.02,0.34,1.76,18.65,19.48,4468459.0,850336.69,9.04,14955.41,14694.95,329.52,2.19,14590.76,14955.41,502436448.0,66896916.0
20150514,19.87,19.41,0.59,2.95,18.68,20.4,5122798.0,1002171.62,10.37,15210.75,15024.47,148.62,0.98,15003.72,15299.79,512902016.0,72399704.0
20150513,18.52,20.0,1.35,7.24,17.81,20.52,8256096.0,1617709.0,16.71,15075.02,15173.09,106.8,0.71,14962.38,15245.81,539316864.0,76566616.0
20150512,18.2,18.65,0.97,5.49,17.56,19.35,7618491.0,1403703.25,15.42,14975.23,15066.29,121.41,0.81,14879.6,15088.96,541630336.0,75464808.0
20150511,16.1,17.68,1.61,10.02,16.07,17.68,6791300.0,1167191.12,13.75,14572.82,14944.88,463.63,3.2,14447.78,14946.65,498476448.0,69849792.0
20150508,15.3,16.07,1.46,9.99,14.89,16.07,6094322.0,963879.62,12.33,14271.46,14481.25,366.52,2.6,14165.07,14481.44,403226752.0,53636904.0
20150507,15.4,14.61,0.8,5.19,14.61,15.94,5715773.0,876012.88,11.57,14080.36,14114.73,21.44,0.15,14027.6,14226.08,355877056.0,44681424.0
20150506,14.3,15.41,1.4,9.99,14.19,15.41,4493956.0,679230.44,9.1,14347.55,14136.17,96.93,0.68,14032.02,14569.64,411887904.0,53943536.0
20150505,13.8,14.01,0.06,0.43,13.54,14.2,3435556.0,474790.5,6.95,14831.91,14233.1,627.43,4.22,14145.5,14831.91,469316160.0,56179568.0
20150504,13.15,13.95,0.85,6.49,13.09,14.3,3659069.0,505250.41,7.41,14846.48,14860.53,41.89,0.28,14714.91,14958.79,404574752.0,52002104.0
20150430,13.0,13.1,0.03,0.23,12.96,13.5,2190156.0,291349.31,4.43,14909.06,14818.64,53.31,0.36,14818.64,15009.73,440210464.0,57084976.0
20150429,12.93,13.13,0.2,1.55,12.82,13.34,1751434.0,230287.59,3.54,14669.22,14871.95,164.7,1.12,14542.32,14907.96,433930720.0,55074048.0
20150428,13.54,12.93,0.67,4.93,12.7,13.72,2866770.0,376328.22,5.8,14946.95,14707.25,102.17,0.69,14580.42,14979.81,511069760.0,64052796.0
20150427,13.88,13.6,0.09,0.66,13.48,14.19,2644410.0,362941.03,5.35,14749.02,14809.42,210.72,1.44,14644.01,14910.31,526775744.0,66426764.0
20150424,14.01,13.69,0.47,3.32,13.53,14.4,3456831.0,482482.62,7.0,14615.54,14598.7,144.52,0.98,14422.54,14771.29,548152256.0,66974476.0
20150423,13.5,14.16,0.69,5.12,13.26,14.16,4772910.0,657808.38,9.66,14842.21,14743.22,5.91,0.04,14647.14,14893.01,582152128.0,72041928.0
20150422,12.92,13.47,0.68,5.32,12.91,13.85,3577998.0,481662.88,7.24,14529.24,14749.13,310.14,2.15,14510.93,14756.15,568062784.0,68295632.0
20150421,12.35,12.79,0.45,3.65,12.34,12.87,1950923.0,247992.14,3.95,13882.44,14439.0,567.4,4.09,13882.44,14439.0,475133088.0,57509616.0
20150420,12.65,12.34,0.51,3.97,12.21,12.75,2320070.0,290215.53,4.7,14132.83,13871.6,277.74,1.96,13814.96,14288.33,548384064.0,65496880.0
20150417,12.65,12.85,0.31,2.47,12.6,13.1,2484992.0,319329.41,5.03,14120.77,14149.34,181.54,1.3,14039.04,14249.47,509805856.0,61449372.0
20150416,12.34,12.54,0.16,1.29,12.15,12.67,1719921.0,214459.69,3.48,13549.87,13967.8,321.19,2.35,13492.77,14024.68,403191776.0,50305532.0
20150415,12.84,12.38,0.49,3.81,12.37,12.84,1847852.0,232767.69,3.74,14023.4,13646.61,395.85,2.82,13646.61,14023.4,452005728.0,57938872.0
20150414,12.99,12.87,0.12,0.92,12.59,13.1,2029795.0,261219.44,4.11,14132.61,14042.46,107.04,0.76,13920.06,14221.51,489523392.0,64045172.0
20150413,12.88,12.99,0.14,1.09,12.72,13.15,2193872.0,284260.59,4.44,14100.35,14149.51,136.18,0.97,13972.41,14175.36,510056736.0,66614472.0
20150410,12.65,12.85,0.13,1.02,12.53,13.0,1884130.0,242356.22,3.81,13718.92,14013.34,216.61,1.57,13650.32,14034.31,490327648.0,59495048.0
20150409,13.08,12.72,0.41,3.12,12.44,13.08,2399327.0,304633.41,4.86,13898.49,13796.73,44.99,0.33,13505.85,13914.01,564544960.0,68323632.0
20150408,13.57,13.13,0.44,3.24,12.93,13.6,2866879.0,378243.47,5.8,13814.98,13841.72,72.99,0.53,13513.14,13846.55,550256640.0,71523368.0
20150407,13.44,13.57,0.12,0.89,13.38,13.66,2319375.0,313483.22,4.69,13626.62,13768.73,274.09,2.03,13625.26,13769.76,507822272.0,66428724.0
20150403,13.5,13.45,0.15,1.1,13.25,13.56,2461929.0,329826.84,4.98,13336.87,13494.64,68.54,0.51,13296.95,13502.47,460825568.0,62403412.0
20150402,13.81,13.6,0.36,2.72,13.42,14.17,4129728.0,569404.06,8.36,13486.89,13426.1,31.38,0.23,13235.28,13537.38,456527840.0,60451672.0
20150401,13.24,13.24,0.17,1.3,13.09,13.46,2073197.0,274655.5,4.2,13187.42,13394.73,234.07,1.78,13142.4,13454.81,421614624.0,53866004.0
20150331,13.22,13.07,0.12,0.91,12.96,13.55,2553371.0,338168.19,5.17,13420.92,13160.66,32.66,0.25,13106.97,13538.29,484897792.0,57860140.0
20150330,13.15,13.19,0.02,0.15,12.91,13.24,2255508.0,294068.72,4.57,12917.14,13193.32,318.9,2.48,12894.49,13242.31,443945120.0,52729996.0
20150327,13.19,13.17,0.08,0.61,13.03,13.4,1589927.0,209682.38,3.22,12779.33,12874.42,161.44,1.27,12717.43,12930.24,364343552.0,44094672.0
20150326,13.48,13.09,0.6,4.38,13.0,13.58,2900775.0,385051.12,5.87,12703.35,12712.98,44.12,0.35,12601.75,12856.21,442111296.0,57988684.0
20150325,12.79,13.69,0.9,7.04,12.71,14.07,4174761.0,555703.44,8.45,12776.0,12757.1,44.1,0.34,12656.52,12841.9,462304832.0,61168492.0
20150324,12.97,12.79,0.18,1.39,12.3,13.25,2702637.0,347292.19,5.47,12841.14,12801.2,20.88,0.16,12495.92,12841.45,538526848.0,68446792.0
20150323,13.06,12.97,0.11,0.86,12.8,13.26,2088271.0,271233.78,4.23,12644.19,12780.32,235.87,1.88,12644.19,12813.83,451193312.0,56537508.0
20150320,12.8,12.86,0.06,0.46,12.71,13.27,2135409.0,277497.47,4.32,12427.41,12544.45,115.34,0.93,12387.89,12659.83,424887936.0,51358268.0
20150319,12.72,12.92,0.11,0.86,12.5,13.01,2652833.0,337947.59,5.37,12549.55,12429.11,67.13,0.54,12337.67,12552.71,413384960.0,49212420.0
20150318,11.87,12.81,0.93,7.83,11.76,13.07,4226296.0,529778.56,8.55,12206.72,12496.24,326.72,2.68,12190.25,12505.34,434400704.0,50451656.0
20150317,11.96,11.88,0.06,0.5,11.72,12.12,2044973.0,243145.39,4.14,12083.44,12169.52,151.75,1.26,12046.8,12190.28,438560800.0,51579336.0
20150316,11.58,11.94,0.61,5.38,11.49,12.04,2361038.0,278522.06,4.78,11791.42,12017.77,304.16,2.6,11748.08,12021.82,348485344.0,43238212.0
20150313,11.26,11.33,0.11,0.98,11.17,11.45,1312414.0,148475.58,2.66,11680.47,11713.61,78.02,0.67,11654.19,11751.2,250539360.0,29778340.0
20150312,11.49,11.22,0.38,3.28,11.03,11.64,2004161.0,225852.44,4.06,11593.69,11635.59,110.5,0.96,11516.25,11645.56,270725920.0,32549034.0
20150311,11.58,11.6,0.07,0.61,11.46,11.85,1268700.0,147793.03,2.57,11554.66,11525.09,31.56,0.27,11491.69,11682.54,254364576.0,31614760.0
20150310,11.52,11.53,0.03,0.26,11.41,11.89,1282995.0,149469.88,2.6,11501.98,11556.65,23.42,0.2,11479.28,11649.25,259920592.0,32202726.0
20150309,11.6,11.5,0.23,1.96,11.15,11.64,1686742.0,192134.98,3.41,11280.02,11533.23,140.83,1.24,11169.05,11547.83,263763296.0,29729260.0
20150306,12.3,11.73,0.51,4.17,11.71,12.3,1745687.0,207965.78,3.53,11600.66,11392.4,173.99,1.5,11381.91,11626.11,271109536.0,32493172.0
20150305,11.69,12.24,0.45,3.82,11.6,12.24,2271324.0,272754.62,4.6,11597.49,11566.39,88.68,0.76,11484.8,11628.15,304128096.0,36786820.0
20150304,11.9,11.79,0.11,0.92,11.57,12.07,1888125.0,222086.91,3.82,11530.93,11655.08,128.86,1.12,11521.7,11688.28,299693664.0,34828652.0
20150303,12.0,11.9,0.17,1.41,11.82,12.48,2555871.0,310336.5,5.17,11800.99,11526.22,357.8,3.01,11515.55,11800.99,348826624.0,40639940.0
20150302,11.8,12.07,0.39,3.34,11.68,12.29,2307887.0,277649.72,4.67,11869.96,11884.02,126.34,1.07,11781.61,11955.82,338700928.0,38758856.0
20150227,11.66,11.68,0.02,0.17,11.55,11.95,1472550.0,172889.06,2.98,11736.29,11757.68,6.9,0.06,11719.66,11819.42,259424048.0,28809612.0
20150226,11.68,11.7,0.02,0.17,11.36,11.84,1537617.0,178005.91,3.11,11526.51,11750.78,211.08,1.83,11470.43,11752.01,246733472.0,26367296.0
20150225,12.1,11.68,0.32,2.67,11.55,12.16,1535552.0,181222.84,3.11,11755.18,11539.7,178.86,1.53,11500.69,11755.18,211794128.0,25266716.0
20150217,12.22,12.0,0.22,1.8,11.91,12.26,1603564.0,192942.91,3.25,11658.05,11718.56,123.31,1.06,11644.54,11772.15,213955120.0,24938200.0
